Namr,Address1,Address2,Address3,Authority,Postcode,UPRN
Warminster,Three Horseshoes Walk,Warminster,Wiltshire,Wiltshire,BA12 9BT,200001302937
Westbury,"Westbury House, Edward Street",Westbury,Wiltshire,Wiltshire,BA13 3BD,100121338767
Wilton,South Street,Salisbury,Wiltshire,Wiltshire,SP2 0JS,100121361532
Bodmin Library & Information Service,Chy Trevail,Bodmin,Cornwall,Cornwall,PL31 2FR,10090884069
Bude Library & Information Service,The Wharf,Bude,Cornwall,Cornwall,EX23 9LG,10003308395
Callington Library & Information Service,Coronation Road,Callington,Cornwall,Cornwall,PL17 7BX,100041154596
Camborne Library,The Cross,Camborne,Cornwall,Cornwall,TR14 8HA,100041208198
Camelford Library & Information Service,"Town Hall, Market Place",Camelford,Cornwall,Cornwall,PL32 9PD,100041026852
Falmouth Library,Municipal Offices,Falmouth,Cornwall,Cornwall,TR11 3QA,10001215712
Hayle Library& Information Service,Commercial Road,Hayle,Cornwall,Cornwall,TR27 4DE,100041027886
Helston Library & Information Service,Trengrouse Way,Helston,Cornwall,Cornwall,TR13 8AG,100041207186
Launceston Library & Information Service,Bounsalls Lane,Launceston,Cornwall,Cornwall,PL15 9AB,100041154524
Liskeard Library,Luxstowe House,Liskeard,Cornwall,Cornwall,PL14 6AB,100041153847
Looe Library & Information Service,Millpool,Looe,Cornwall,Cornwall,PL13 2AF,10003918474
Lostwithiel Library,"Taprell House, North Street",Lostwithiel,Cornwall,Cornwall,PL22 0BL,10034634267
Newquay Library & Information Service,Marcus Hill,Newquay,Cornwall,Cornwall,TR7 1BD,100041217169
Par Community Library,Par Athletics Track ,Par,Cornwall,Cornwall,PL24 2PB,10002695508
Penryn Library,St. Thomas Street,Penryn,Cornwall,Cornwall,TR10 8JN,100041022499
Penzance Library & Information Service,"St. John's Hall, Alverton Street",Penzance,Cornwall,Cornwall,TR18 2QW,10093433955
Perranporth Library,"Oddfellows Hall, Ponsmere Road",Perranporth,Cornwall,Cornwall,TR6 0BW,100041022553
Redruth Library & Information Service,Clinton Road,Redruth,Cornwall,Cornwall,TR15 2QE,100041209365
Saltash Library & Information Service,Callington Road,Saltash,Cornwall,Cornwall,PL12 6DX,100041024369
St. Agnes Library,Trelawney Road,St. Agnes,Cornwall,Cornwall,TR5 0TP,10001215432
St. Austell Library,2 Carlyon Road,St. Austell,Cornwall,Cornwall,PL25 4LD,100041159118
St. Columb Library,"The Town Hall, Market Place",St. Columb,Cornwall,Cornwall,TR9 6AN,100041218282
St. Ives Library & Information Service,Gabriel Street,St. Ives,Cornwall,Cornwall,TR26 2LX,100041214212
St. Just Library,Market Street,St. Just,Cornwall,Cornwall,TR19 7HX,100041029528
Torpoint Library & Information Service,Fore Street,Torpoint,Cornwall,Cornwall,PL11 2AG,100041151648
Truro Community Library,Union Place,Truro,Cornwall,Cornwall,TR1 1EP,100041023250
Wadebridge Library & Information Service,Southern Way,Wadebridge,Cornwall,Cornwall,PL27 7BX,100041023250
Central Library,Townley Road,Kent,Greater London,Bexley,DA6 7HJ,100022922362
Erith Library,100 High Street,Kent,Greater London,Bexley,DA8 1SL,10011863186
Sidcup Library,Hadlow Road,Kent ,Greater London,Bexley,DA14 4AQ,100022918511
Thamesmead Library,Binsey Walk,London,Greater London,Bexley,SE2 9TR,200001836487
Welling Library,Bellegrove Road,Kent ,Greater London,Bexley,DA16 3PA,100022920830
Coldean Library,"Library Court, 24 Beatty Avenue",Brighton,East Sussex,Brighton and Hove,BN1 9ED,22223944
Hangleton Library,"West Way, Hangleton",Hove,East Sussex,Brighton and Hove,BN3 8LD,22019566
Hollingbury Library,"Old Boat Corner Community Centre, Carden Hill",Brighton,East Sussex,Brighton and Hove,BN1 8GN,22168439
Hove Library,182-186 Church Road,Hove,East Sussex,Brighton and Hove,BN3 2EG,22021562
Jubilee Library,Jubilee Street,Brighton,East Sussex,Brighton and Hove,BN1 1GE,22236658
Moulsecoomb Library,The Highway,Brighton,East Sussex,Brighton and Hove,BN2 4PA,22101842
Patcham Library,Ladies Mile Road,Brighton,East Sussex,Brighton and Hove,BN1 8TA,22241898
Portslade Library,Old Shoreham Road,Portslade,East Sussex,Brighton and Hove,BN41 1XR,22010165
Rottingdean Library,The Grange,Brighton,East Sussex,Brighton and Hove,BN2 7HA,22170369
Saltdean Library,Saltdean Lido,Brighton,East Sussex,Brighton and Hove,BN2 8SP,22245988
Westdene Library,Bankside,Brighton,East Sussex,Brighton and Hove,BN1 5GN,22044305
Camden Town Library,218 Eversholt Street,London,Greater London,Camden,NW1 1BD,
Highgate Library,Chester Road,London,Greater London,Camden,N19 5DH,
Holborn Library,32 Theobolds Road,London,Greater London,Camden,WC1X 8PA,
Kentish Town Library,262-266 Kentish Town Road,London,Greater London,Camden,NW5 2AA,
Kilburn Library Centre,12-22 Kilburn High Road,London,Greater London,Camden,NW6 5UH,
Queens Crescent Library,165 Queens Crescent,London,Greater London,Camden,NW5 4HH,
Swiss Cottage Library,88 Avenue Road,London,Greater London,Camden,NW3 3HA,
West Hampstead Library,Dennington Park Road,London,Greater London,Camden,NW6 1AU,
Ampthill Library,1 Dunstable Street,Ampthill,Bedfordshire,Central Bedfordshire,MK45 2NL,100081213546
Barton Library,Bedford Road,Barton,Bedfordshire,Central Bedfordshire,MK45 4PP,100080085696
Biggleswade Library,Chestnut Avenue,Biggleswade,Bedfordshire,Central Bedfordshire,SG18 0LL,10000859839
Dunstable Library,"The Dunstable Centre, Court Drive",Dunstable,Bedfordshire,Central Bedfordshire,LU5 4JD,10091964811
Flitwick Library,Coniston Road,Flitwick,Bedfordshire,Central Bedfordshire,MK45 1QJ,100081213385
Houghton Regis Library,Bedford Square,Houghton Regis,Bedfordshire,Central Bedfordshire,LU5 5ES,10001023308
Leighton Buzzard Library,Lake Street,Leighton Buzzard,Bedfordshire,Central Bedfordshire,LU7 1RX,100081198554
Potton Library,Clock House,Potton,Bedfordshire,Central Bedfordshire,SG19 2NP,100081310570
Sandy Library,Market Square,Sandy,Bedfordshire,Central Bedfordshire,SG19 1EH,100081253656
Shefford Library,High Street,Shefford,Bedfordshire,Central Bedfordshire,SG17 5DD,100081252145
Stotfold Library,Hitchin Road,Stotfold,Bedfordshire,Central Bedfordshire,SG5 4HP,100081257249
Toddington Library,9 Market Square,Toddington,Bedfordshire,Central Bedfordshire,LU5 6BP,100081195621
Allerton,Allerton Road ,Allerton,Merseyside,Liverpool,L18 6HG,38005179
Central Library,William Brown Street ,Liverpool,Merseyside,Liverpool,L3 8EW,38165204
Croxteth,"The Communiversity, Altcross House, Altcross Road",Croxteth,Merseyside,Liverpool,L11 0BS,38006106
Garston,Bowden Road,Garston,Merseyside,Liverpool,L19 1QN,38019836
Kensington,Kensington ,Kensington,Merseyside,Liverpool,L7 2RJ,38084483
Lee Valley,"Lee Valley Millennium Centre, Childwall Valley Road",Netherley,Merseyside,Liverpool,L25 2RF,38032039
Norris Green,Townsend Avenue,Norris Green,Merseyside,Liverpool,L11 5AF,38152536
Old Swan,Prescot Road ,Old Swan,Merseyside,Liverpool,L13 5XG,38120428
Parklands,Conleach Road,Speke,Merseyside,Liverpool,L24 0TY,38226750
Sefton Park,Aigburth Road ,Liverpool,Merseyside,Liverpool,L17 4JS,38002298
Spellow,County Road ,Liverpool ,Merseyside,Liverpool,L4 3QF,38037400
Toxteth,Windsor Street,Toxteth,Merseyside,Liverpool,L8 1XF,38166383
Wavertree,Picton Road ,Wavertree,Merseyside,Liverpool,L15 4LP,38117951
Bedford Central Library,Harpur Street,Bedford,Bedfordshire,Bedford,MK40 1PG,
Bromham Library,Springfield Drive,Bedford,Bedfordshire,Bedford,MK43 8NT,
Kempston Library,Halsey Road,Bedford,Bedfordshire,Bedford,MK42 8AU,
Putnoe Library,Library Walk,Bedford,Bedfordshire,Bedford,MK41 8HQ,
Wootton Library,Lorraine Road,Bedford,Bedfordshire,Bedford,MK43 9LH,
Beckenham Library,Beckenham Road,Bromley,Greater London,Bromley,BR3 4PE,10003628986
Biggin Hill Memorial Library & Pool,Church Road,Bromley,Greater London,Bromley,TN16 3LB,10070007971
Bromley Central Library,High Street,Bromley,Greater London,Bromley,BR1 1EX,100022886980
Burnt Ash Library,Burnt Ash Lane,Bromley,Greater London,Bromley,BR1 5AF,100022890161
Chislehurst Library,Red Hill,Bromley,Greater London,Bromley,BR7 6DA,100022901114
Hayes Library,Hayes Street,Bromley,Greater London,Bromley,BR2 7LH,100022891892
Mottingham Library,31 Mottingham Road,Bromley,Greater London,Bromley,SE9 4QZ,100023283985
Orpington Library,The Walnuts,Bromley,Greater London,Bromley,BR6 0TW,10070009943
Petts Wood Library,Frankswood Avenue,Bromley,Greater London,Bromley,BR5 1BP,100022897997
Shortlands Library,110 Shortlands Road,Bromley,Greater London,Bromley,BR2 0JP,100022891493
Southborough Library,Southborough Lane,Bromley,Greater London,Bromley,BR2 8AP,100022892170
St Pauls Cray Library,Mickleham Road,Bromley,Greater London,Bromley,BR5 2RW,100022898290
West Wickham Library,Glebe Way,Bromley,Greater London,Bromley,BR4 0SH,100022897598
Barbican Library,Silk Street,London,Greater London,City of London,EC2Y 8DS,200000072620
Shoe Lane Library,Little New Street,London,Greater London,City of London,EC4A 3JR,200000075492
Bramhall,Bramhall Lane South,Bramhall,Greater Manchester,Stockport,SK7 2DU,100012787409
Bredbury,George Lane,Bredbury,Greater Manchester,Stockport,SK6 1DJ,100012785090
Brinnington,"First House, 367 Brinnington Road",Brinnington,Greater Manchester,Stockport,SK5 8EN,10009671064
Cheadle,Ashfield Road,Cheadle,Greater Manchester,Stockport,SK8 1BB,100012785090
Cheadle Hulme,Mellor Road,Cheadle Hulme,Greater Manchester,Stockport,SK8 5AU,100012847750
Edgeley,Edgeley Road,Edgeley,Greater Manchester,Stockport,SK3 9NB,100012848531
Great Moor,Gladstone Street,Great Moor,Greater Manchester,Stockport,SK2 7QF,100012779888
Hazel Grove,Beech Avenue,Hazel Grove,Greater Manchester,Stockport,SK7 4QP,100012787835
Heald Green,Finney Lane,Heald Green,Greater Manchester,Stockport,SK8 3JB,100012788958
Heatons,Thornfield Road,Heaton Moor,Greater Manchester,Stockport,SK4 3LD,100012782085
High Lane,Buxton Road,High Lane,Greater Manchester,Stockport,SK6 8DX,100012787013
Marple,Memorial Park,Marple,Greater Manchester,Stockport,SK6 6BA,200000781479
Reddish,Gorton Road,Reddish,Greater Manchester,Stockport,SK5 6UG,100012848655
Stockport Central,Wellington Road South,Stockport,Greater Manchester,Stockport,SK1 3RS,100012769770
Ambleside Library,Kelsick Road,Ambleside,Cumbria,Cumbria,LA22 0BZ,N/A
Appleby Library,Low Wiend,Appleby-in-Westmorland,Cumbria,Cumbria,CA16 6QP,N/A
Arnside Library Link,"Educational Institute, Church Hill",Arnside,Lancashire,Cumbria,LA5 0DF,N/A
Askam Library,Lord Street,Askam-in-Furness,Cumbria,Cumbria,LA16 7AQ,N/A
Aspatria Library,Market Square,Aspatria,Cumbria,Cumbria,CA7 3EZ,N/A
Barrow Library,Ramsden Square,Barrow-in-Furness,Cumbria,Cumbria,LA14 1LL,N/A
Brampton Library,1 Market Place,Brampton,Cumbria,Cumbria,CA8 1NW,N/A
Carlisle Library,11 Globe Lane,Carlisle,Cumbria,Cumbria,CA3 8NX,N/A
Carlisle West Library Link,19-23 Shadygrove Road,Carlisle,Cumbria,Cumbria,CA2 7LE,N/A
Cleator Moor Library,Market Square,Cleator Moor,Cumbria,Cumbria,CA25 5AP,N/A
Coniston Library Link,John Ruskin Institute,Coniston,Cumbria,Cumbria,LA21 8DU,N/A
Dalston Library Link,"St. Michael's Church, 1 The Square",Dalston ,Cumbria,Cumbria,CA5 7PJ,N/A
Dent Library Link,"Dent Reading Room, Main Street",Dent,Cumbria,Cumbria,LA10 5QL,N/A
Denton Holme Library Link,"Denton Holme Community Centre, Morley Street",Carlisle,Cumbria,Cumbria,CA2 5HQ,N/A
Frizington Library,Main Street,Frizington,Cumbria,Cumbria,CA26 3PF,N/A
Grange over Sands Library,Grange Fell Road,Grange-over-Sands,Cumbria,Cumbria,LA11 6BQ,N/A
Kendal Library,Stricklandgate,Kendal,Cumbria,Cumbria,LA9 4PY,N/A
Keswick Library,Heads Lane,Keswick,Cumbria,Cumbria,CA12 5HD,N/A
Kirkby Lonsdale Library,Chapel Lane,Kirkby Lonsdale,Cumbria,Cumbria,LA6 2AL,N/A
Longtown ,Lochinvar Centre,Longtown,Cumbria,Cumbria,CA6 5UG,N/A
Maryport Library,Lawson Street,Maryport,Cumbria,Cumbria,CA15 6ND,N/A
Millom Library,St. George's Road,Millom,Cumbria,Cumbria,LA18 4DD,N/A
Milnthorpe Library,19 The Square,Milnthorpe,Cumbria,Cumbria,LA7 7QJ,N/A
Morton Library Link,"Morton Community Centre, Wigton Road",Carlisle,Cumbria,Cumbria,CA2 6JP,N/A
Penrith Library,St Andrews Churchyard,Penrith,Cumbria,Cumbria,CA11 7YA,N/A
Roose Library,91-93 Roose Road,Barrow-in-Furness,Cumbria,Cumbria,LA13 9RJ,N/A
Seaton Library,Main Street,Seaton,Cumbria,Cumbria,CA14 1JD,N/A
Sedbergh Library,Main Street,Sedbergh,Cumbria,Cumbria,LA10 5BN,N/A
Shap Library,"The Old Courthouse, Main Street",Shap,Cumbria,Cumbria,CA10 3NL,N/A
Ulverston Library,Kings Road,Ulverston,Cumbria,Cumbria,LA12 0BT,N/A
Walney Library,"Central Drive, Walney",Barrow-in-Furness ,Cumbria,Cumbria,LA14 3HY,N/A
Whitehaven Library,Lowther Street,Whitehaven,Cumbria,Cumbria,CA28 7QZ,N/A
Wigton Library,High Street,Wigton,Cumbria,Cumbria,CA7 9NJ,N/A
Windermere Library,Ellerthwaite,Windermere,Cumbria,Cumbria,LA23 2AJ,N/A
Workington Library,Vulcan's Lane,Workington,Cumbria,Cumbria,CA14 2ND,N/A
Archway Library,"Hamlyn House, Highgate Hill",London,Middlesex,Islington,N19 5PH,
Finsbury Library,245 St. John Street,London,Middlesex,Islington,EC1V 4NB,
Islington Central Library,2 Fieldway Crescent,London,Middlesex,Islington,N5 1PF,
Lewis Carroll Children's Library,166 Copenhagen Street,London,Middlesex,Islington,N1 0ST,
Mildmay Library,21 Mildmay Park,London,Middlesex,Islington,N1 4NA,
N4 Library,26 Blackstock Road,London,Middlesex,Islington,N4 2DW,
North Library,Manor Gardens,London,Middlesex,Islington,N7 6JX,
South Library,115 Essex Road,London,Middlesex,Islington,N1 2SL,
West Library,Bridgeman Road,London,Middlesex,Islington,N1 1BD,
Beaumont Leys Library,Beaumont Way,Leicester,Leicestershire,Leicester,LE4 1DS,2425
Belgrave Library,Cossington Street,Leicester,Leicestershire,Leicester,LE4 6JD,2033
Braunstone Library,"The BRITE Centre, Braunstone Avenue",Leicester,Leicestershire,Leicester,LE3 1LE,2046
Evington Library,200 Evington Lane,Leicester,Leicestershire,Leicester,LE5 6DH,2122
Fosse Library,Mantle Road,Leicester,Leicestershire,Leicester,LE3 5HG,2747
Hamilton Library & Community Centre,Maidenwell Avenue,Hamilton,Leicestershire,Leicester,LE5 1BL,2832
Highfields Library,98 Melbourne Road,Leicester,Leicestershire,Leicester,LE2 0DS,2168
Knighton Library,Clarendon Park Road,Leicester,Leicestershire,Leicester,LE2 3AJ,2202
Leicester Central Library,Bishop Street (Town Hall Square),Leicester,Leicestershire,Leicester,LE1 6AA,2040
New Parks Library,321 Aikman Avenue,Leicester,Leicestershire,Leicester,LE3 9PW,2864
Pork Pie Library & Community Centre,Southfields Drive (Pork Pie Island),Leicester,Leicestershire,Leicester,LE2 6QS,2341
Rushey Mead Library,Lockerbie Walk,Leicester,Leicestershire,Leicester,LE4 7ZX,2322
St. Barnabas Library,French Road,Leicester,Leicestershire,Leicester,LE5 4AH,2348
St. Matthews Library,"St. Matthews Centre, 10 Malabar Road",Leicester,Leicestershire,Leicester,LE1 2PD,2777
Westcotes Library,Narborough Road,Leicester,Leicestershire,Leicester,LE3 0BQ,2393
Crownhill Library,Cross Park Road,Plymouth,Devon,Plymouth,PL6 5AN,
Efford Library,19 Torridge Way,Plymouth,Devon,Plymouth,PL3 6JQ,
Estover Library,"Tor Bridge High School, Miller Way",Plymouth,Devon,Plymouth,PL6 8UN,
Peverell Library,242A Peverell Park Road,Plymouth,Devon,Plymouth,PL3 4QF,
Plymstock Library,Horn Cross Road,Plymouth,Devon,Plymouth,PL9 9BU,
Southway Library,351 Southway Drive,Plymouth,Devon,Plymouth,PL6 6QR,
Alkrington Library,Kirkway,Middleton,Greater Manchester,Rochdale,M24 1LW,
Balderstone Library,Balderstone Park,Rochdale,Greater Manchester,Rochdale,OL11 2HD,
Castleton Library,Manchester Road,Rochdale ,Greater Manchester,Rochdale,OL11 3AF,
Darnhill Library,Argyle Parade,Heywood ,Greater Manchester,Rochdale,OL10 3RY,
Heywood Library,Lance Corporal Stephen Shaw M C Way,Heywood ,Greater Manchester,Rochdale,OL10 1LL,
Junction Community Library,"Jumbo Social Centre, Grimshaw Lane",Middleton,Greater Manchester,Rochdale,M24 2BW,
Littleborough Library,"Hare Hill Park, ",Littleborough,Greater Manchester,Rochdale,OL15 9HE,
Middleton Library,Long Street,Middleton,Greater Manchester,Rochdale,M24 6DU,
Milnrow Library,Newhey Road,Milnrow,Greater Manchester,Rochdale,OL16 3PS,
Rochdale Central Library,Smith Street,Rochdale,Greater Manchester,Rochdale,OL16 1XU,
Smallbridge Library,Stevenson Square,Rochdale,Greater Manchester,Rochdale,OL12 9SA,
Smithybridge Library,121-123 Smithy Bridge Road, Littleborough,Greater Manchester,Rochdale,OL12 9SA,
Spotland Library,Ings Lane,Rochdale,Greater Manchester,Rochdale,OL12 7AL,
Wardle Library,448 Birch Road,Rochdale,Greater Manchester,Rochdale,OL12 9LH,
Bleakhouse Library,Bleakhouse Road,Oldbury,West Midlands,Sandwell,B68 9DS,32103070
Brandhall Library,Tame Road,Oldbury,West Midlands,Sandwell,B68 0JT,100071477133
Central Library (West Bromwich),High Street,West Bromwich,West Midlands,Sandwell,B70 8DZ,32112252
Cradley Heath Library,Upper High Street,Cradley Heath,West Midlands,Sandwell,B64 5JU,32005451
Glebefields Library,St. Marks Road,Tipton,West Midlands,Sandwell,DY4 0SZ,32041724
Great Barr Library,Birmingham Road,Great Barr,West Midlands,Sandwell,B43 6NW,32176544
Great Bridge Library,Sheepwash Lane,Tipton,West Midlands,Sandwell,DY4 7JF,32059960
Hamstead Library,Hamstead Road,Birmingham,West Midlands,Sandwell,B43 5EL,32174753
Hill Top Library,Hill Top,West Bromwich,West Midlands,Sandwell,B70 0RZ,32092403
Langley Library,Barrs Street,Oldbury,West Midlands,Sandwell,B68 8QT,32082030
Oakham Library,Poplar Rise,Oldbury,West Midlands,Sandwell,B69 1RD,32056319
Oldbury Library,"Sandwell Council House, Freeth Street",Oldbury,West Midlands,Sandwell,B69 3DB,10092012645
Rounds Green Library,Martley Road,Oldbury,West Midlands,Sandwell,B69 1DZ,32054938
Smethwick Library,High Street,Smethwick,West Midlands,Sandwell,B66 1AA,32180420
Stone Cross Library,Beverley Road,West Bromwich,West Midlands,Sandwell,B71 2LH,32118605
Thimblemill Library,Thimblemill Road,Smethwick,West Midlands,Sandwell,B67 5RJ,32126394
Tipton Library,"Owen House, 17 Unity Walk",Tipton,West Midlands,Sandwell,DY4 8QL,10008753265
Wednesbury Library,Walsall Street,Wednesbury,West Midlands,Sandwell,WS10 9EH,32074805
Chapeltown,Nether Ley Avenue,Sheffield,Yorkshire,Sheffield,S35 1AE,100052094065
Crystal Peaks,1-3 Peak Square,Sheffield,Yorkshire,Sheffield,S20 7PH,200002991943
Darnall,Britannia Road,Sheffield,Yorkshire,Sheffield,S9 5JG,100052120911
Ecclesall,"Weetwood Gardens, 120 Ecclesall Road",Sheffield,Yorkshire,Sheffield,S11 9PL,10013160136
Firth Park,443 Firth Park Road,Sheffield,Yorkshire,Sheffield,S5 6QQ,100052098226
Highfield,London Road,Sheffield,Yorkshire,Sheffield,S2 4NF,100052216597
Hillsborough,Middlewood Road,Sheffield,Yorkshire,Sheffield,S6 4HD,100052100826
Manor,Ridgeway Road,Sheffield,Yorkshire,Sheffield,S12 2SS,100052085407
Parson Cross,320 Wordsworth Avenue,Sheffield,Yorkshire,Sheffield,S5 8NL,10090226568
Sheffield Central: Lending,Surrey Street,Sheffield,Yorkshire,Sheffield,S1 1XZ,100052217869
Stocksbridge,Manchester Road,Sheffield,Yorkshire,Sheffield,S36 1DH,100051023368
Woodseats,"The Roddick Building, 900 Chesterfield Rd",Sheffield,Yorkshire,Sheffield,S8 0SH,10093470919
Bethnal Green library,Cambridge Heath Road,London,Middlesex,Tower Hamlets,E2 0HL,6036905
Cubitt Town library,Strattondale Street,London,Middlesex,Tower Hamlets,E14 3HG,6081796
Idea Store Bow,"1 Gladstone Place, Roman Road",London,Middlesex,Tower Hamlets,E3 5ES,6189409
Idea Store Canary Wharf,Churchill Place,London,Middlesex,Tower Hamlets,E14 5RB,6145802
Idea Store Chrisp Street,1 Vesey Path,London,Middlesex,Tower Hamlets,E14 6BT,6173963
Idea Store Whitechapel,321 Whitechapel Road,London,Middlesex,Tower Hamlets,E1 1BU,6000711
Ashmore Park Library,"The Hub at Ashmore Park, Griffiths Drive ",Wolverhampton,West Midlands,Wolverhampton,WV11 2LH,100071558114
Bilston Library,Mount Pleasant,Wolverhmapton,West Midlands,Wolverhampton,WV14 7LU,100071560116
Blakenhall Library,"Bob Jones Community Hub, Bromley Street",Wolverhsmpton,West Midlands,Wolverhampton,WV2 3AS,10090013682
Collingwood Library,Broadway Gardens,Wolverhampton,West Midlands,Wolverhampton,WV10 8EA,100071405518
East Park Library,Hurstbourne Crescent,Wolverhampton,West Midlands,Wolverhampton,WV1 2EE,200001906486
Finchfield Library,White Oak Drive,Wolverhampton,West Midlands,Wolverhampton,WV3 9AF,200001527725
Long Knowle Library,"Long Knowle Community Hub, Wood End Road",Wolverhampton,West Midlands,Wolverhampton,WV11 1YG,100071558009
Low Hill Library,Showell Circus,Wolverhampton,West Midlands,Wolverhampton,WV10 9JJ,10007119838
Pendeford Library,"Pendeford Community hub, Whitburn Close",Wolverhampton,West Midlands,Wolverhampton,WV9 5NJ,100071566880
Penn Library,Coalway Road,Wolverhampton,West Midlands,Wolverhampton,WV3 7LT,100071563983
Spring Vale Library,Bevan Avenue,Wolverhampton,West Midlands,Wolverhampton,WV4 6SG,100071565240
Tettenhall Library,"St. Michael's Parish Centre, Upper Street",Wolverhampton,West Midlands,Wolverhampton,WV6 8QF,100071566348
Warstones Library,Pinfold Grove,Wolverhampton,West Midlands,Wolverhampton,WV4 4PT,100071564707
Wednesfield Library,"Wednesfield Community Hub, 2 Well Lane",Wolverhampton,West Midlands,Wolverhampton,WV11 1XT,10090013615
Whitmore Reans Library,Bargate Drive,Wolverhampton.,West Midlands,Wolverhampton,WV6 0QW,100071565927
Wolverhampton Central Library,Snow Hill,Wolverhampton,West Midlands,Wolverhampton,WV1 3AX,100071555374
Appledore,The Quay,Bideford,,Devon,EX39 1QS,
Axminster,South Street,Axminster,,Devon,EX13 5AD,
Bampton,Newton Square,Bampton,,Devon,EX16 9NE,
Barnstaple,"North Devon Library & Record Office, Tuly Street",Barnstaple,,Devon,EX31 1EL,
Bideford,New Road,Bideford,,Devon,EX39 2HR,
Bovey Tracey,Abbey Road,Bovey Tracey,,Devon,TQ13 9HZ,
Braunton,Chaloners Road,Braunton,,Devon,EX33 2ES,
Buckfastleigh,"Town Hall, Bossell Road",Buckfastleigh,,Devon,TQ11 0DD,
Budleigh Salterton,Station Road,Budleigh Salterton,,Devon,EX9 6RH,
Chagford,Jubilee Hall,Chagford,,Devon,TQ13 8DP,
Chudleigh,Market Way,Chudleigh,,Devon,TQ13 0HL,
Chulmleigh,"Chulmleigh Community College, Fourways Cross",Chulmleigh,,Devon,EX18 7AA,
Clyst Vale,"Clyst Vale Community College, Station Road",Broadclyst,,Devon,EX5 3AJ,
Colyton,Market Place,Colyton,,Devon,EX24 6NQ,
Combe Martin,"Westbourne Terrace, High Street",Combe Martin,,Devon,EX34 0EQ,
Crediton,Belle Parade,Crediton,,Devon,EX17 2AA,
Dartmouth,"The Flavel, Flavel Place",Dartmouth,,Devon,TQ6 9ND,
Dawlish,Lawn Terrace,Dawlish,,Devon,EX7 9PY,
Exeter,Castle Street,Exeter,,Devon,EX4 3PQ,
Exmouth,40 Exeter Road,Exmouth,,Devon,EX8 1PS,
Holsworthy,North Road,Holsworthy,,Devon,EX22 6HA,
Honiton,48-50 New Street,Honiton,,Devon,EX14 1BS,
Ilfracombe,The Candar,Ilfracombe,,Devon,EX34 9DS,
Ivybridge,"The Watermark, Erme Court, Leonards Road",Ivybridge,,Devon,PL21 0SZ,
Kingsbridge,Ilbert Road,Kingsbridge,,Devon,TQ7 1EB,
Kingskerswell,1 Newton Road,Kingskerswell,,Devon,TQ12 5EH,
Kingsteignton,Newton Road,Kingsteignton,,Devon,TQ12 3AL,
Lynton,"Market Hall, Market Street",Lynton,,Devon,EX35 6AF,
Moretonhampstead,Fore Street,Moretonhampstead,,Devon,TQ13 8LL,
Newton Abbot,"Passmore Edwards Centre, Market Street",Newton Abbot,,Devon,TQ12 2RJ,
Northam,Fore Street,Northam,,Devon,EX39 1AW,
Okehampton,4 North Street,Okehampton,,Devon,EX20 1AR,
Ottery St Mary,Old Town Hall,Ottery St. Mary,,Devon,EX11 1DJ,
Pinhoe,Main Road,Exeter,,Devon,EX4 8HW,
Princetown,Princetown Village Centre,Yelverton,,Devon,PL20 6QE,
Salcombe,"Cliff House, Cliff Road",Salcombe,,Devon,TQ8 8JQ,
Seaton,23 Queen Street,Seaton,,Devon,EX12 2NY,
Sidmouth,Blackmore Drive,Sidmouth,,Devon,EX10 8LA,
South Molton,"Amory Centre, 125 East Street",South Molton,,Devon,EX36 3BU,
Stoke Fleming,"Village Hall, Dartmouth Road",Stoke Fleming,,Devon,TQ6 0QT,
Tavistock,"The Quay, Plymouth Road",Tavistock,,Devon,PL19 8AB,
Teignmouth,Fore Street,Teignmouth,,Devon,TQ14 8DY,
Tiverton,"Phoenix House, Phoenix Lane",Tiverton,,Devon,EX16 6SA,
Topsham,Nelson Close,Topsham,,Devon,EX3 0DX,
Torrington,Castle Hill,Torrington,,Devon,EX38 8AA,
Uffculme,"School House, 8 Ashley Road",Cullompton,,Devon,EX15 3AY,
Brierley Hill,High Street,Brierley Hill,West Midlands,Dudley,DY5 3ET,90145853
Coseley,Castle Street,Bilston,West Midlands,Dudley,WV14 9DW,90156907
Cradley,Colley Lane,Halesowen,West Midlands,Dudley,B63 2TL,90144785
Dudley,St. James' Road,Dudley,West Midlands,Dudley,DY1 1HR,90142880
Dudley Wood Library Link,"Dudley Wood Neighbourhood Learning Centre, Pavilion Gardens",Dudley,West Midlands,Dudley,DY2 0DB,90204249
Gornal,Abbey Road,Dudley,West Midlands,Dudley,DY3 2PG,90143588
Halesowen,Queensway Mall,Halesowen,West Midlands,Dudley,B63 4AZ,90160479
Kingswinford,Market Street,Kingswinford,West Midlands,Dudley,DY6 9LG,90125445
Long Lane,Long Lane,Halesowen,West Midlands,Dudley,B62 9JY,90146359
Lye,Chapel Street,Stourbridge,West Midlands,Dudley,DY9 8BT,90144636
Netherton,"The Savoy Centre, Northfield Road",Dudley,West Midlands,Dudley,DY2 9ES,90210335
Pensnett Library Link,"High Oak Surgery, 120 High Street",Pensnett,West Midlands,Dudley,DY5 4DS,90204247
Quarry Bank Library Link,"Quarry Bank Community Centre & Library Link, Sheffield Street", Quarry Bank,West Midlands,Dudley,DY5 1EA,90151859
Sedgley,Ladies Walk,Dudley,West Midlands,Dudley,DY3 3UA,90155302
Stourbridge,Crown Centre,Dudley,West Midlands,Dudley,DY8 1YE,90140933
